Date,Team 1,Team 2,Score 1,Score 2
1/4/2026,Jacksonville St.,Liberty,69,78
1/4/2026,Iona,Marist,38,83
1/4/2026,Le Moyne,Mercyhurst,60,74
1/4/2026,Manhattan,Merrimack,66,73
1/4/2026,Sam Houston St.,Middle Tennessee,67,68
1/4/2026,New Mexico St.,Missouri St.,82,89
1/4/2026,Bradley,Murray St.,66,86
1/4/2026,Fairfield,Niagara,83,75
1/4/2026,Tulsa,North Texas,67,72
1/4/2026,Youngstown St.,Northern Kentucky,79,94
1/4/2026,Robert Morris,Oakland,73,96
1/4/2026,Pepperdine,Pacific,69,74
1/4/2026,Cleveland St.,Purdue Fort Wayne,71,74
1/4/2026,Mount St. Mary's,Quinnipiac,69,80
1/4/2026,Siena,Rider,74,65
1/4/2026,Fairleigh Dickinson,Saint Francis,82,85
1/4/2026,Seattle,Saint Mary's,76,93
1/4/2026,Portland,San Francisco,68,73
1/4/2026,San Diego,Santa Clara,70,98
1/4/2026,Creighton,Seton Hall,54,56
1/4/2026,UAB,South Florida,109,106
1/4/2026,Denver,St. Thomas,88,92
1/4/2026,Florida Atlantic,Tulane,66,69
1/4/2026,Illinois Chicago,Valparaiso,59,66
1/4/2026,Stonehill,Wagner,69,60
1/4/2026,Oregon St.,Washington St.,67,81
1/4/2026,Louisiana Tech,Western Kentucky,61,66
1/5/2026,Alabama St.,Arkansas Pine Bluff,79,90
1/5/2026,Yale,Brown,70,53
1/5/2026,William & Mary,Charleston,79,88
1/5/2026,Columbia,Cornell,104,99
1/5/2026,Texas Southern,Grambling St.,67,84
1/5/2026,Milwaukee,Green Bay,76,79
1/5/2026,Dartmouth,Harvard,76,68
1/5/2026,Texas A&M Corpus Chris,Houston Christian,81,65
1/5/2026,Stephen F. Austin,McNeese,64,66
1/5/2026,USC,Michigan St.,51,80
1/5/2026,Alabama A&M,Mississippi Valley St.,71,51
1/5/2026,East Texas A&M,New Orleans,73,83
1/5/2026,Northwestern St.,Nicholls,72,74
1/5/2026,Nebraska,Ohio St.,72,69
1/5/2026,Penn,Princeton,76,78
1/5/2026,Oregon,Rutgers,85,88
1/5/2026,Lamar,Southeastern Louisiana,52,60
1/5/2026,Prairie View A&M,Southern,89,85
1/5/2026,Incarnate Word,UT Rio Grande Valley,67,80
1/6/2026,Utah St.,Air Force,99,62
1/6/2026,Central Michigan,Akron,69,82
1/6/2026,Texas A&M,Auburn,90,88
1/6/2026,Eastern Michigan,Ball St.,74,52
1/6/2026,N.C. State,Boston College,79,71
1/6/2026,St. John's,Butler,84,70
1/6/2026,New Mexico,Colorado St.,80,70
1/6/2026,George Washington,Dayton,72,79
1/6/2026,Georgetown,DePaul,50,56
1/6/2026,Georgia,Florida,77,92
1/6/2026,Syracuse,Georgia Tech,82,72
1/6/2026,Texas Tech,Houston,65,69
1/6/2026,TCU,Kansas,100,104
1/6/2026,Bowling Green,Kent St.,93,96
1/6/2026,Duke,Louisville,84,73
1/6/2026,South Carolina,LSU,78,68
1/6/2026,Western Michigan,Miami OH,76,87
1/6/2026,Iowa,Minnesota,67,70
1/6/2026,San Diego St.,Nevada,73,68
1/6/2026,Toledo,Northern Illinois,75,61
1/6/2026,Massachusetts,Ohio,83,86
1/6/2026,UCF,Oklahoma St.,76,87
1/6/2026,Michigan,Penn St.,74,72
1/6/2026,Fresno St.,San Jose St.,70,55
1/6/2026,Lindenwood,SIUE,62,66
1/6/2026,Texas,Tennessee,71,85
1/6/2026,Cincinnati,West Virginia,60,62
1/6/2026,UCLA,Wisconsin,72,80
1/6/2026,UNLV,Wyoming,66,98
1/7/2026,Kansas St.,Arizona,76,101
1/7/2026,Troy,Arkansas St.,74,86
1/7/2026,Loyola MD,Army,84,76
1/7/2026,Iowa St.,Baylor,70,60
1/7/2026,Grand Canyon,Boise St.,75,58
1/7/2026,Drake,Bradley,66,93
1/7/2026,Arizona St.,BYU,76,104
1/7/2026,Furman,Chattanooga,78,67
1/7/2026,SMU,Clemson,70,74
1/7/2026,American,Colgate,62,64
1/7/2026,Utah,Colorado,73,85
1/7/2026,VMI,East Tennessee St.,67,81
1/7/2026,Murray St.,Evansville,79,69
1/7/2026,George Mason,Fordham,67,58
1/7/2026,Gardner Webb,High Point,49,104
1/7/2026,Southern Illinois,Illinois Chicago,57,70
1/7/2026,FIU,Jacksonville St.,64,71
1/7/2026,Marshall,James Madison,66,64
